,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
26189,Mount DeWitt 96600,16769,Valid,H6,1644.4,Found,1996.0,-77.2,159.83333,"(-77.200000, 159.833330)"
26191,Mount Dooling,16771,Valid,"Iron, IC",734000.0,Found,1909.0,-29.45,119.71667,"(-29.450000, 119.716670)"
26192,Mount Dyrring,16772,Valid,Pallasite,11300.0,Found,1903.0,-32.33333,151.2,"(-32.333330, 151.200000)"
26193,Mount Edith,16773,Valid,"Iron, IIIAB",326000.0,Found,1913.0,-22.5,116.16667,"(-22.500000, 116.166670)"
26194,Mount Egerton,16774,Valid,Aubrite-an,22000.0,Found,1941.0,-24.76667,117.7,"(-24.766670, 117.700000)"
26195,Mount Howe 10920,56960,Valid,LL5,711.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
26196,Mount Howe 88400,16775,Valid,H6,2104.2,Found,1988.0,-87.36667,-149.5,"(-87.366670, -149.500000)"
26197,Mount Howe 88401,16776,Valid,Eucrite-br,1622.7,Found,1988.0,-87.36667,-149.5,"(-87.366670, -149.500000)"
26199,Mount Howe 88403,16778,Valid,"Iron, ungrouped",2480.7,Found,1988.0,-87.36667,-149.5,"(-87.366670, -149.500000)"
26200,Mount Joy,16779,Valid,"Iron, IIAB",384000.0,Found,1887.0,39.78333,-77.21667,"(39.783330, -77.216670)"
26201,Mount Leake,45812,Valid,L5,3667.0,Found,1998.0,-25.87667,119.07333,"(-25.876670, 119.073330)"
26202,Mount Magnet,16780,Valid,"Iron, IAB-sHH",16600.0,Found,1916.0,-28.16667,118.5,"(-28.166670, 118.500000)"
26203,Mount Margaret,16781,Valid,L5,850.0,Found,1972.0,-28.83333,122.18333,"(-28.833330, 122.183330)"
26204,Mount Moroto,52858,Valid,L6,752.0,Found,1995.0,2.5,34.75,"(2.500000, 34.750000)"
26206,Mount Morris (Wisconsin),16783,Valid,"Iron, IAB-an",676.0,Found,1937.0,44.0,-89.25,"(44.000000, -89.250000)"
26207,Mount Ouray,16784,Valid,"Iron, IID",900.0,Found,1898.0,38.41667,-106.21667,"(38.416670, -106.216670)"
26208,Mount Padbury,16785,Valid,Mesosiderite-A1,272000.0,Found,1964.0,-25.66667,118.1,"(-25.666670, 118.100000)"
26211,Mount Pratt 04403,44555,Valid,LL6,655.7,Found,2004.0,,,
26213,Mount Pratt 04405,44557,Valid,LL6,1373.5,Found,2004.0,,,
26214,Mount Pratt 04406,44558,Valid,H6,1188.6,Found,2004.0,,,
26215,Mount Pratt 04407,44559,Valid,L5,508.0,Found,2004.0,,,
26230,Mount Pratt 04422,44573,Valid,LL6,5060.0,Found,2004.0,,,
26231,Mount Prestrud 95400,16786,Valid,H5,2431.8,Found,1995.0,-86.56667,-165.11667,"(-86.566670, -165.116670)"
26248,Mount Sir Charles,16803,Valid,"Iron, IVA",22900.0,Found,1942.0,-23.83333,134.03333,"(-23.833330, 134.033330)"
26249,Mount Vernon,16806,Valid,"Pallasite, PMG",159000.0,Found,1868.0,36.93333,-87.4,"(36.933330, -87.400000)"
26252,Mount Wegener,16809,Valid,"Iron, IIIAB",3480.0,Found,1988.0,-80.7,-23.58333,"(-80.700000, -23.583330)"
26253,Mount Wisting 95300,16810,Valid,H3.3,2733.0,Found,1995.0,-86.45,-165.43333,"(-86.450000, -165.433330)"
26262,Mrirt,16819,Valid,Iron,79900.0,Found,1937.0,33.13333,-5.56667,"(33.133330, -5.566670)"
26263,Muckera 001,16821,Valid,Howardite,513.0,Found,1950.0,-30.08333,130.03333,"(-30.083330, 130.033330)"
26267,Muckera 005,16825,Valid,L6,1200.0,Found,1991.0,-30.3695,130.05533,"(-30.369500, 130.055330)"
26278,Muckera 016,16836,Valid,L4,538.0,Found,1991.0,-30.21333,129.87333,"(-30.213330, 129.873330)"
26282,Mud Dry Lake,16840,Valid,H3,18255.0,Found,2002.0,37.8594,-117.02097,"(37.859400, -117.020970)"
26283,Muenatauray,16842,Valid,"Iron, IIAB",30000.0,Found,1960.0,4.9,-61.2,"(4.900000, -61.200000)"
26286,Muizenberg,16844,Valid,L6,4610.0,Found,1880.0,-34.1,18.46667,"(-34.100000, 18.466670)"
26287,Mukinbudin,45813,Valid,H5,8200.0,Found,1938.0,-30.91667,118.2,"(-30.916670, 118.200000)"
26288,Mulberry Draw,16845,Valid,L5,9716.0,Found,1963.0,35.63333,-100.13333,"(35.633330, -100.133330)"
26289,Muleshoe,16846,Valid,H4/6,3600.0,Found,1972.0,34.12167,-102.695,"(34.121670, -102.695000)"
26290,Mulga (north),16847,Valid,H6,19900.0,Found,1964.0,-30.18333,126.36667,"(-30.183330, 126.366670)"
26291,Mulga (south),16848,Valid,H4,894.0,Found,1963.0,-30.2,126.36667,"(-30.200000, 126.366670)"
26293,Mundrabilla,16852,Valid,"Iron, IAB-ung",24000000.0,Found,1911.0,-30.78333,127.55,"(-30.783330, 127.550000)"
